# Sample bright sky spectra (moon phase = 77.49, moon alt = +60.09)
# Source: fxSKY.2002-08-18T03:01:06.360.fits (from http://www.eso.org/~fpatat/science/skybright/)
# Wavelength(nm) Flux(erg/s/cm2/A/arcsec2)
400.19384193420353 9.003912e-17
400.4539481401438 9.069107e-17
400.714054346084 9.215131e-17
400.9741605520243 9.266715e-17
401.2342667579645 9.342708e-17
401.49437296390477 9.538841e-17
401.754479169845 9.623539e-17
402.01458537578526 9.6021514e-17
402.2746915817255 9.6103227e-17
402.53479778766575 9.5946936e-17
402.794903993606 9.357109e-17
403.05501019954625 9.109005e-17
403.3151164054865 9.08351e-17
403.57522261142674 9.1186214e-17
403.835328817367 9.167216e-17
404.09543502330723 9.1261375e-17
404.3555412292475 9.02419e-17
404.6156474351877 8.981167e-17
404.875753641128 8.8774605e-17
405.1358598470682 8.793895e-17
405.39596605300846 8.905259e-17
405.6560722589487 8.951553e-17
405.91617846488896 8.677926e-17
406.1762846708292 8.465491e-17
406.43639087676945 8.4964757e-17
406.6964970827097 8.5336856e-17
406.95660328864994 8.489355e-17
407.2167094945902 8.586132e-17
407.47681570053044 8.5947646e-17
407.7369219064707 8.653527e-17
407.997028112411 8.754345e-17
408.25713431835123 8.8706134e-17
408.5172405242915 9.1446934e-17
408.7773467302317 9.375971e-17
409.037452936172 9.359596e-17
409.2975591421122 9.2336954e-17
409.55766534805247 8.927548e-17
409.81777155399266 8.366897e-17
410.0778777599329 8.0398614e-17
410.33798396587315 7.991428e-17
410.5980901718134 8.074172e-17
410.85819637775364 8.396327e-17
411.1183025836939 8.9053696e-17
411.37840878963414 9.189438e-17
411.6385149955744 9.2448564e-17
411.89862120151463 9.314359e-17
412.1587274074549 9.324504e-17
412.4188336133951 9.1984847e-17
412.67893981933537 9.0762525e-17
412.9390460252756 8.911218e-17
413.19915223121586 8.858815e-17
413.4592584371561 8.9349535e-17
413.71936464309636 8.9922215e-17
413.9794708490366 8.960117e-17
414.23957705497685 9.0372764e-17
414.4996832609171 9.0105545e-17
414.75978946685734 8.872702e-17
415.0198956727976 8.752981e-17
415.28000187873783 8.8299916e-17
415.5401080846781 8.834062e-17
415.8002142906183 8.884127e-17
416.0603204965586 9.0379084e-17
416.3204267024988 9.143564e-17
416.58053290843907 9.2112226e-17
416.8406391143793 9.0819534e-17
417.10074532031956 8.808123e-17
417.3608515262598 8.606817e-17
417.62095773220005 8.4986144e-17
417.8810639381403 8.4276946e-17
418.14117014408055 8.462565e-17
418.4012763500208 8.4532406e-17
418.66138255596104 8.475382e-17
418.9214887619013 8.546187e-17
419.18159496784153 8.555628e-17
419.4417011737818 8.42984e-17
419.701807379722 8.3399393e-17
419.9619135856623 8.253532e-17
420.2220197916025 8.2319526e-17
420.48212599754277 8.376981e-17
420.742232203483 8.63701e-17
421.00233840942326 8.841872e-17
421.2624446153635 8.874901e-17
421.52255082130375 8.8533426e-17
421.782657027244 8.81585e-17
422.04276323318425 8.560595e-17
422.3028694391245 8.145095e-17
422.56297564506474 8.041865e-17
422.823081851005 8.014498e-17
423.08318805694523 7.9069414e-17
423.3432942628855 7.970182e-17
423.6034004688257 8.2492817e-17
423.863506674766 8.315918e-17
424.1236128807062 8.304887e-17
424.38371908664647 8.302293e-17
424.6438252925868 8.283582e-17
424.9039314985271 8.2591886e-17
425.1640377044673 8.17053e-17
425.42414391040757 8.083928e-17
425.6842501163478 7.9914065e-17
425.94435632228806 8.0876837e-17
426.2044625282283 8.203425e-17
426.46456873416855 8.178838e-17
426.7246749401088 7.9946775e-17
426.98478114604904 7.849304e-17
427.2448873519893 7.727757e-17
427.50499355792954 7.635255e-17
427.7650997638698 7.6321864e-17
428.02520596981003 7.821361e-17
428.2853121757503 7.9191585e-17
428.5454183816905 7.750677e-17
428.80552458763077 7.5759116e-17
429.065630793571 7.48883e-17
429.32573699951126 7.2750985e-17
429.5858432054515 6.935648e-17
429.84594941139176 6.623339e-17
430.106055617332 6.299757e-17
430.36616182327225 5.901647e-17
430.6262680292125 5.639204e-17
430.88637423515274 5.802537e-17
431.146480441093 6.28582e-17
431.40658664703324 6.9750536e-17
431.6666928529735 7.671025e-17
431.92679905891373 8.0864733e-17
432.186905264854 8.09941e-17
432.4470114707942 8.038129e-17
432.70711767673447 7.932448e-17
432.9672238826747 7.9176133e-17
433.22733008861496 8.071763e-17
433.4874362945552 8.0569575e-17
433.74754250049546 7.714969e-17
434.0076487064357 7.469269e-17
434.26775491237595 7.389459e-17
434.5278611183162 7.478483e-17
434.78796732425644 7.7276245e-17
435.0480735301967 8.0039095e-17
435.30817973613694 8.147261e-17
435.5682859420772 8.1744324e-17
435.82839214801743 8.241097e-17
436.0884983539577 8.471403e-17
436.3486045598979 8.635944e-17
436.60871076583817 8.64771e-17
436.8688169717784 8.5665286e-17
437.12892317771866 8.3790226e-17
437.3890293836589 8.2423234e-17
437.64913558959915 8.103077e-17
437.9092417955394 7.7791274e-17
438.16934800147965 7.5102964e-17
438.4294542074199 7.469028e-17
438.68956041336014 7.3785933e-17
438.9496666193004 7.3826174e-17
439.20977282524063 7.6764445e-17
439.4698790311809 7.9803083e-17
439.7299852371211 8.03972e-17
439.9900914430614 7.9996194e-17
440.2501976490016 7.911489e-17
440.51030385494187 7.924091e-17
440.7704100608821 8.017911e-17
441.03051626682236 8.1297475e-17
441.2906224727626 8.2610786e-17
441.55072867870285 8.5050366e-17
441.8108348846431 8.588079e-17
442.07094109058335 8.536715e-17
442.3310472965236 8.599929e-17
442.59115350246384 8.668975e-17
442.8512597084041 8.5769385e-17
443.11136591434433 8.4710045e-17
443.3714721202846 8.477894e-17
443.6315783262248 8.4816334e-17
443.8916845321651 8.4109465e-17
444.1517907381053 8.471525e-17
444.41189694404557 8.6010035e-17
444.6720031499858 8.617054e-17
444.93210935592606 8.528466e-17
445.1922155618663 8.398187e-17
445.45232176780655 8.2033765e-17
445.7124279737468 8.0113395e-17
445.97253417968705 7.9112666e-17
446.2326403856273 7.946167e-17
446.49274659156754 8.075536e-17
446.7528527975078 8.238926e-17
447.01295900344803 8.457945e-17
447.2730652093883 8.61712e-17
447.5331714153285 8.657633e-17
447.79327762126877 8.624124e-17
448.053383827209 8.658652e-17
448.31349003314926 8.631603e-17
448.5735962390895 8.530338e-17
448.83370244502976 8.53911e-17
449.09380865097 8.593649e-17
449.35391485691025 8.584296e-17
449.6140210628505 8.57525e-17
449.87412726879074 8.684397e-17
450.134233474731 8.8185275e-17
450.39433968067124 8.9662216e-17
450.6544458866115 9.0434075e-17
450.91455209255173 9.0611204e-17
451.174658298492 8.991639e-17
451.4347645044322 8.897388e-17
451.69487071037247 8.8233146e-17
451.9549769163127 8.735826e-17
452.21508312225296 8.5777974e-17
452.4751893281932 8.390252e-17
452.73529553413346 8.220505e-17
452.9954017400737 8.042087e-17
453.25550794601395 7.976117e-17
453.5156141519542 8.101024e-17
453.77572035789444 8.279792e-17
454.0358265638347 8.3917625e-17
454.29593276977494 8.4608215e-17
454.5560389757152 8.416352e-17
454.81614518165543 8.309261e-17
455.0762513875957 8.2271476e-17
455.3363575935359 8.2142674e-17
455.59646379947617 8.3170496e-17
455.8565700054164 8.43523e-17
456.11667621135666 8.4535715e-17
456.3767824172969 8.5360625e-17
456.63688862323716 8.548987e-17
456.8969948291774 8.4871636e-17
457.15710103511765 8.509138e-17
457.4172072410579 8.557668e-17
457.67731344699814 8.470292e-17
457.9374196529384 8.370494e-17
458.19752585887863 8.2895257e-17
458.4576320648189 8.2261014e-17
458.7177382707591 8.1741134e-17
458.9778444766994 8.18145e-17
459.2379506826396 8.199342e-17
459.49805688857987 8.190679e-17
459.7581630945201 8.115992e-17
460.01826930046036 8.092995e-17
460.2783755064006 8.144791e-17
460.53848171234085 8.236652e-17
460.7985879182811 8.2966745e-17
461.05869412422135 8.322917e-17
461.3188003301616 8.3611264e-17
461.57890653610184 8.359077e-17
461.8390127420421 8.3301356e-17
462.09911894798233 8.3407645e-17
462.3592251539226 8.352305e-17
462.6193313598628 8.3526495e-17
462.8794375658031 8.349382e-17
463.1395437717433 8.292477e-17
463.39964997768357 8.2227345e-17
463.6597561836238 8.156662e-17
463.91986238956406 8.1094915e-17
464.1799685955043 8.005283e-17
464.44007480144455 7.8965315e-17
464.7001810073848 7.881204e-17
464.96028721332505 7.880623e-17
465.2203934192653 7.8643985e-17
465.48049962520554 7.9603885e-17
465.7406058311458 8.0764936e-17
466.00071203708603 8.030724e-17
466.2608182430263 7.8950445e-17
466.5209244489665 7.7745435e-17
466.7810306549068 7.693147e-17
467.041136860847 7.6366155e-17
467.30124306678726 7.667661e-17
467.5613492727275 7.751527e-17
467.82145547866776 7.809694e-17
468.081561684608 7.811931e-17
468.34166789054825 7.80252e-17
468.6017740964885 7.766082e-17
468.86188030242874 7.789852e-17
469.121986508369 7.828552e-17
469.38209271430924 7.776399e-17
469.6421989202495 7.671574e-17
469.90230512618973 7.5731886e-17
470.16241133213 7.5113704e-17
470.4225175380702 7.406666e-17
470.68262374401047 7.3740366e-17
470.9427299499507 7.4354875e-17
471.20283615589096 7.538284e-17
