# Sample bright sky spectra (moon phase =  0.05, moon alt = -76.65)
# Source: fxSKY.2000-07-31T05:50:57.788.fits (from http://www.eso.org/~fpatat/science/skybright/)
# Wavelength(nm) Flux(erg/s/cm2/A/arcsec2)
414.2261699199668 6.3378446e-18
414.48627612590707 6.1551093e-18
414.7463823318473 5.8625123e-18
415.00648853778756 5.849592e-18
415.2665947437278 6.1322443e-18
415.52670094966805 6.400008e-18
415.7868071556083 6.700974e-18
416.04691336154855 7.1789525e-18
416.3070195674888 7.6201855e-18
416.56712577342904 7.874896e-18
416.8272319793693 8.075478e-18
417.08733818530953 8.117753e-18
417.3474443912499 7.976158e-18
417.60755059719014 7.731983e-18
417.8676568031304 7.392477e-18
418.12776300907063 7.058155e-18
418.3878692150109 6.794579e-18
418.6479754209511 6.592504e-18
418.9080816268914 6.387671e-18
419.1681878328316 6.2850726e-18
419.42829403877187 6.1516425e-18
419.6884002447121 5.9989318e-18
419.94850645065236 5.8632377e-18
420.2086126565926 5.7583413e-18
420.46871886253285 5.7959607e-18
420.7288250684731 5.8746624e-18
420.98893127441335 5.893196e-18
421.2490374803536 5.933783e-18
421.50914368629384 5.9076193e-18
421.7692498922341 5.7573148e-18
422.02935609817433 5.655561e-18
422.2894623041146 5.567147e-18
422.5495685100548 5.4217173e-18
422.8096747159951 5.4077557e-18
423.0697809219353 5.410355e-18
423.32988712787557 5.3777907e-18
423.5899933338158 5.3860447e-18
423.85009953975606 5.4262916e-18
424.1102057456963 5.4828e-18
424.37031195163655 5.61772e-18
424.6304181575768 5.7950028e-18
424.89052436351705 6.0119847e-18
425.1506305694573 6.217692e-18
425.41073677539754 6.3293995e-18
425.6708429813378 6.265281e-18
425.93094918727803 6.207219e-18
426.1910553932183 6.187344e-18
426.4511615991585 6.211841e-18
426.71126780509877 6.1474065e-18
426.971374011039 6.1135443e-18
427.23148021697926 6.1314337e-18
427.4915864229195 6.089375e-18
427.75169262885976 6.0400997e-18
428.0117988348 6.046682e-18
428.27190504074025 6.0491077e-18
428.5320112466805 5.9799252e-18
428.79211745262074 5.9069038e-18
429.052223658561 5.9497617e-18
429.31232986450124 5.918947e-18
429.5724360704415 5.843017e-18
429.83254227638173 5.8308644e-18
430.092648482322 5.7265433e-18
430.3527546882622 5.6191897e-18
430.61286089420247 5.5533048e-18
430.8729671001427 5.6765596e-18
431.13307330608296 5.9723056e-18
431.3931795120232 6.3742414e-18
431.65328571796346 6.611243e-18
431.9133919239037 6.67406e-18
432.17349812984395 6.558506e-18
432.4336043357842 6.393522e-18
432.69371054172444 6.1579833e-18
432.9538167476647 6.033344e-18
433.21392295360494 6.039635e-18
433.4740291595452 6.024927e-18
433.73413536548543 5.936389e-18
433.9942415714257 5.871194e-18
434.2543477773659 5.8850948e-18
434.51445398330617 5.9034714e-18
434.7745601892464 6.0454127e-18
435.03466639518666 6.1293968e-18
435.2947726011269 6.1680025e-18
435.55487880706715 6.1602696e-18
435.8149850130074 6.175355e-18
436.07509121894765 6.169899e-18
436.3351974248879 6.2606538e-18
436.59530363082814 6.2918004e-18
436.8554098367684 6.234242e-18
437.11551604270863 6.204175e-18
437.3756222486489 6.2927707e-18
437.6357284545891 6.3373644e-18
437.8958346605294 6.3256578e-18
438.1559408664696 6.3008477e-18
438.41604707240987 6.2740963e-18
438.6761532783501 6.171337e-18
438.93625948429036 6.099324e-18
439.1963656902306 6.15725e-18
439.45647189617085 6.2775626e-18
439.7165781021111 6.424886e-18
439.97668430805135 6.6855008e-18
440.2367905139916 7.021121e-18
440.49689671993184 7.4553325e-18
440.7570029258721 7.848138e-18
441.01710913181233 8.199764e-18
441.2772153377526 8.311633e-18
441.5373215436928 8.329594e-18
441.7974277496331 8.3000634e-18
442.0575339555733 8.199964e-18
442.31764016151357 8.17909e-18
442.5777463674538 8.047326e-18
442.83785257339406 7.923811e-18
443.0979587793343 7.692489e-18
443.35806498527455 7.549565e-18
443.6181711912148 7.483971e-18
443.87827739715505 7.382311e-18
444.1383836030953 7.34222e-18
444.39848980903554 7.381742e-18
444.6585960149758 7.31422e-18
444.91870222091603 7.155595e-18
445.1788084268563 6.998283e-18
445.4389146327965 6.8281282e-18
445.69902083873677 6.63424e-18
445.959127044677 6.5070237e-18
446.21923325061726 6.4948737e-18
446.4793394565575 6.5214187e-18
446.73944566249776 6.4851307e-18
446.999551868438 6.5942363e-18
447.25965807437825 6.6556764e-18
447.5197642803185 6.6313424e-18
447.77987048625874 6.599635e-18
448.039976692199 6.7050164e-18
448.30008289813924 6.769978e-18
448.5601891040795 6.6980996e-18
448.82029531001973 6.73111e-18
449.08040151596 6.843838e-18
449.3405077219002 6.8626572e-18
449.60061392784047 6.8347986e-18
449.8607201337807 6.8845155e-18
450.12082633972096 6.9062645e-18
450.3809325456612 6.9032226e-18
450.64103875160146 6.974878e-18
450.9011449575417 6.990587e-18
451.16125116348195 7.004833e-18
451.4213573694222 6.994568e-18
451.68146357536244 7.0149515e-18
451.9415697813027 7.072266e-18
452.20167598724294 7.109143e-18
452.4617821931832 7.1999695e-18
452.72188839912343 7.395498e-18
452.9819946050637 7.552028e-18
453.2421008110039 7.663317e-18
453.50220701694417 7.83369e-18
453.7623132228844 7.9036495e-18
454.02241942882466 7.963499e-18
454.2825256347649 7.9657245e-18
454.54263184070516 7.895716e-18
454.8027380466454 7.8232335e-18
455.06284425258565 7.76645e-18
455.3229504585259 7.6253215e-18
455.58305666446614 7.483324e-18
455.8431628704064 7.417522e-18
456.10326907634663 7.301595e-18
456.3633752822869 7.23246e-18
456.6234814882271 7.2025586e-18
456.8835876941674 7.0950755e-18
457.1436939001076 7.083112e-18
457.40380010604787 7.158049e-18
457.6639063119881 7.239635e-18
457.92401251792836 7.328205e-18
458.1841187238686 7.407914e-18
458.44422492980885 7.460493e-18
458.7043311357491 7.400541e-18
458.96443734168935 7.277692e-18
459.2245435476296 7.175154e-18
459.48464975356984 7.113998e-18
459.7447559595101 6.9737356e-18
460.00486216545033 6.9195267e-18
460.2649683713906 6.910535e-18
460.5250745773308 7.000137e-18
460.7851807832711 7.024422e-18
461.0452869892113 7.033809e-18
461.30539319515157 7.069133e-18
461.5654994010918 7.0844645e-18
461.82560560703206 7.051762e-18
462.0857118129723 7.027159e-18
462.34581801891255 7.064166e-18
462.6059242248528 7.063531e-18
462.86603043079305 7.027955e-18
463.1261366367333 7.008552e-18
463.38624284267354 6.946493e-18
463.6463490486138 6.8956936e-18
463.90645525455403 6.8782024e-18
464.1665614604943 6.831721e-18
464.4266676664345 6.7466803e-18
464.6867738723748 6.760954e-18
464.946880078315 6.767342e-18
465.20698628425527 6.784361e-18
465.4670924901955 7.072173e-18
465.72719869613576 7.357188e-18
465.987304902076 7.5204135e-18
466.24741110801625 7.568207e-18
466.5075173139565 7.584701e-18
466.76762351989674 7.526441e-18
467.027729725837 7.467844e-18
467.28783593177724 7.492545e-18
467.5479421377175 7.530561e-18
467.80804834365773 7.591112e-18
468.068154549598 7.580464e-18
468.3282607555382 7.548714e-18
468.58836696147847 7.47625e-18
468.8484731674187 7.440304e-18
469.10857937335896 7.403558e-18
469.3686855792992 7.303295e-18
469.62879178523946 7.208846e-18
469.8888979911797 7.097924e-18
470.14900419711995 7.088345e-18
470.4091104030602 7.051624e-18
470.66921660900044 7.07437e-18
470.9293228149407 7.1363965e-18
471.18942902088094 7.184476e-18
471.4495352268212 7.210388e-18
471.70964143276143 7.256356e-18
471.9697476387017 7.223986e-18
472.2298538446419 7.206801e-18
472.48996005058217 7.117536e-18
472.7500662565224 7.040733e-18
473.01017246246266 6.944537e-18
473.2702786684029 6.8916975e-18
473.53038487434316 6.8625844e-18
473.7904910802834 6.8738287e-18
474.05059728622365 6.891683e-18
474.3107034921639 6.923682e-18
474.57080969810414 6.9012746e-18
474.8309159040444 6.8743573e-18
475.09102210998464 6.8674962e-18
475.3511283159249 6.8459e-18
475.61123452186513 6.8311495e-18
475.8713407278054 6.813407e-18
476.1314469337456 6.7810455e-18
476.39155313968587 6.7944347e-18
476.6516593456261 6.7611295e-18
476.91176555156636 6.8098306e-18
477.1718717575066 6.8739383e-18
477.43197796344685 6.970957e-18
477.6920841693871 6.980015e-18
477.95219037532735 7.004883e-18
478.2122965812676 6.97813e-18
478.47240278720784 6.941088e-18
478.7325089931481 6.996735e-18
478.99261519908833 7.0426695e-18
479.2527214050286 7.115237e-18
479.5128276109688 7.126591e-18
479.7729338169091 7.179639e-18
480.0330400228493 7.215225e-18
480.29314622878957 7.214239e-18
480.5532524347298 7.197414e-18
480.81335864067006 7.211594e-18
481.0734648466103 7.3240515e-18
481.33357105255055 7.501476e-18
481.5936772584908 7.704688e-18
481.85378346443105 7.982796e-18
482.1138896703713 8.139145e-18
482.37399587631154 8.301161e-18
482.6341020822518 8.3309735e-18
482.89420828819203 8.308067e-18
483.1543144941323 8.294819e-18
483.4144207000725 8.3605295e-18
483.6745269060128 8.321588e-18
483.934633111953 8.280548e-18
484.19473931789327 8.187431e-18
484.4548455238335 8.025548e-18
484.71495172977376 7.891679e-18
484.975057935714 7.723717e-18
485.23516414165425 7.497817e-18
485.4952703475945 7.2837935e-18
485.75537655353475 7.13764e-18
486.015482759475 7.005002e-18
486.27558896541524 6.929847e-18
486.5356951713555 6.996557e-18
486.79580137729573 7.032774e-18
487.055907583236 7.027813e-18
487.3160137891762 7.1066346e-18
487.5761199951165 7.2221354e-18
487.8362262010568 7.316896e-18
488.096332406997 7.462904e-18
488.35643861293727 7.564785e-18
488.6165448188775 7.661125e-18
488.87665102481776 7.6733046e-18
489.136757230758 7.628035e-18
489.39686343669825 7.60889e-18
489.6569696426385 7.58404e-18
489.91707584857875 7.567654e-18
490.177182054519 7.567967e-18
490.43728826045924 7.527095e-18
490.6973944663995 7.468886e-18
490.95750067233973 7.460811e-18
491.21760687828 7.4046686e-18
491.4777130842202 7.248231e-18
491.7378192901605 7.151989e-18
491.9979254961007 7.1919806e-18
492.25803170204097 7.2236384e-18
492.5181379079812 7.249732e-18
492.77824411392146 7.339622e-18
493.0383503198617 7.437573e-18
493.29845652580195 7.472038e-18
493.5585627317422 7.4663365e-18
493.81866893768245 7.470415e-18
494.0787751436227 7.4225845e-18
494.33888134956294 7.4346696e-18
494.5989875555032 7.419185e-18
494.85909376144343 7.516033e-18
495.1191999673837 7.5235055e-18
495.3793061733239 7.489848e-18
495.6394123792642 7.453175e-18
495.8995185852044 7.438105e-18
496.15962479114467 7.440236e-18
496.4197309970849 7.516755e-18
496.67983720302516 7.634318e-18
496.9399434089654 7.775777e-18
497.20004961490565 7.834898e-18
497.4601558208459 7.774811e-18
497.72026202678614 7.621518e-18
497.9803682327264 7.41846e-18
498.24047443866664 7.327462e-18
498.5005806446069 7.322961e-18
498.76068685054713 7.326995e-18
499.0207930564874 7.469261e-18
499.2808992624276 7.5700244e-18
499.54100546836787 7.570573e-18
499.8011116743081 7.553866e-18
500.06121788024836 7.463377e-18
500.3213240861886 7.428793e-18
500.58143029212886 7.399879e-18
500.8415364980691 7.371052e-18
501.10164270400935 7.292194e-18
501.3617489099496 7.2683715e-18
501.62185511588984 7.255298e-18
501.8819613218301 7.1835954e-18
502.14206752777034 7.134658e-18
502.4021737337106 7.138393e-18
