# Sample bright sky spectra (moon phase = 97.63, moon alt = +12.22)
# Source: fxSKY.2004-01-09T01:55:30.850.fits (from http://www.eso.org/~fpatat/science/skybright/)
# Wavelength(nm) Flux(erg/s/cm2/A/arcsec2)
384.0698093868785 8.3241706e-17
384.32991559281874 9.1003215e-17
384.590021798759 9.770222e-17
384.85012800469923 1.026173e-16
385.1102342106395 1.01777024e-16
385.3703404165797 9.692828e-17
385.63044662251997 9.312898e-17
385.8905528284602 9.375396e-17
386.15065903440046 9.476212e-17
386.4107652403407 9.5962215e-17
386.67087144628096 9.6600706e-17
386.9309776522212 9.75048e-17
387.19108385816145 9.653999e-17
387.4511900641017 9.417984e-17
387.71129627004194 9.3712794e-17
387.9714024759822 9.50577e-17
388.23150868192243 9.2887056e-17
388.4916148878627 9.152368e-17
388.7517210938029 9.531935e-17
389.0118272997432 1.0026309e-16
389.2719335056834 1.0546025e-16
389.53203971162367 1.1155814e-16
389.7921459175639 1.1508091e-16
390.05225212350416 1.1425335e-16
390.3123583294444 1.1476182e-16
390.57246453538465 1.1711817e-16
390.8325707413249 1.2057517e-16
391.09267694726515 1.2395178e-16
391.3527831532054 1.260896e-16
391.61288935914564 1.2302386e-16
391.8729955650859 1.1742684e-16
392.13310177102613 1.098405e-16
392.3932079769664 9.851767e-17
392.6533141829066 8.496466e-17
392.9134203888469 7.154348e-17
393.1735265947871 6.0772556e-17
393.43363280072737 5.717409e-17
393.6937390066676 6.188632e-17
393.95384521260786 7.193911e-17
394.2139514185481 8.6199466e-17
394.47405762448835 9.9191244e-17
394.7341638304286 1.08513106e-16
394.99427003636885 1.1505627e-16
395.2543762423091 1.1939745e-16
395.51448244824934 1.1943838e-16
395.7745886541896 1.1321576e-16
396.03469486012983 1.0194801e-16
396.2948010660701 8.731154e-17
396.5549072720103 7.305904e-17
396.8150134779506 6.538643e-17
397.0751196838908 6.7986365e-17
397.33522588983107 7.910419e-17
397.5953320957713 9.6500035e-17
397.85543830171156 1.1338657e-16
398.1155445076518 1.2534236e-16
398.37565071359205 1.3362535e-16
398.6357569195323 1.387885e-16
398.89586312547254 1.4175783e-16
399.1559693314128 1.437632e-16
399.41607553735304 1.4564049e-16
399.6761817432933 1.4789829e-16
399.93628794923353 1.4855186e-16
400.1963941551738 1.4715555e-16
400.456500361114 1.485286e-16
400.71660656705427 1.5072738e-16
400.9767127729945 1.518533e-16
401.23681897893476 1.5351285e-16
401.496925184875 1.5653416e-16
401.75703139081526 1.5787642e-16
402.0171375967555 1.5753127e-16
402.27724380269575 1.5788673e-16
402.537350008636 1.5696354e-16
402.79745621457624 1.5314943e-16
403.0575624205165 1.5015532e-16
403.31766862645674 1.5019219e-16
403.577774832397 1.5077014e-16
403.83788103833723 1.5106234e-16
404.0979872442775 1.5029313e-16
404.3580934502177 1.4894609e-16
404.61819965615797 1.4817961e-16
404.8783058620982 1.4632056e-16
405.13841206803846 1.4562684e-16
405.3985182739787 1.4776114e-16
405.65862447991896 1.474764e-16
405.9187306858592 1.4316663e-16
406.17883689179945 1.4073853e-16
406.4389430977397 1.4148379e-16
406.69904930367994 1.4198538e-16
406.9591555096202 1.4216552e-16
407.21926171556044 1.4355727e-16
407.4793679215007 1.4385642e-16
407.739474127441 1.4462025e-16
