,GOTO_B,GOTO_B_noatm,GOTO_G,GOTO_G_noatm,GOTO_L,GOTO_L_noatm,GOTO_R,GOTO_R_noatm,atm,atmosphere,corrector,filter_B,filter_C,filter_G,filter_L,filter_R,lens1,lens2,lens3,lens_coating,mirror,ota,qe,window
603,0.0013741572362569,0.0015363315164218,0.0021493397514978,0.0024029989528118,0.418420674755629,0.4678015388548543,0.3815589475720443,0.4265894914066737,0.8944405693489034,-2.895517900087728,0.920978052260755,0.00324637494975,0.9943058014,0.005077703296,0.988497066525,0.9014131546,0.9645891703571999,0.9850901859074488,0.9958843000000001,0.9973,0.965436241610738,0.847350487831108,0.5585,0.9871124
604,0.0013832614999865,0.0015454773004653,0.0019887346657696,0.0022219546214691,0.4182731321964908,0.4673242414470934,0.3938146602951703,0.4399975117376887,0.8950383804214536,-2.8942958043337925,0.9209780065608586,0.0032695186879999,0.9938357544,0.004700633362,0.988643016825,0.930832233425,0.9645891442496,0.9850901747980851,0.9958444,0.9973,0.965436241610738,0.8471193609153209,0.558,0.9868432
605,0.0013910903688835,0.0015532157316574,0.0018896971410876,0.0021099328938356,0.4183320087389267,0.4670867339485647,0.4022830316656155,0.4491673203541185,0.8956195462939291,-2.8930737085798572,0.9209779608609634,0.00328973419975,0.9940908813,0.0044688694935,0.98929670335,0.951343116775,0.964589118142,0.9850901636887214,0.9958045,0.9973,0.965436241610738,0.8468882340224683,0.5575000000000001,0.9865740000000001
606,0.0013923121482177,0.0015534103523839,0.0018327397370041,0.0020447978453193,0.4182943537910453,0.4666933204271099,0.4078746350467186,0.4550679826843596,0.8962938518344966,-2.891851612825922,0.9209779151610694,0.0032939988375,0.9935586548,0.00433598354425,0.989620838175,0.964969367975,0.9645890920343999,0.9850901525793576,0.9957646,0.9973,0.965436241610738,0.8466571071525499,0.557,0.9863048
607,0.0013851658731279,0.0015441551575141,0.0018173452445826,0.0020259400602102,0.4182016663591126,0.4662028371599563,0.4115015937939416,0.4587337305295249,0.8970380122668059,-2.8906295170719867,0.9209778694611772,0.0032782100885,0.993753891,0.00430102966775,0.989739170075,0.97388240815,0.9645890659267999,0.985090141469994,0.9957247,0.9973,0.965436241610738,0.8464259803055665,0.5565,0.9860356
608,0.0013694564513527,0.0015252841150384,0.0018332720164498,0.0020418763097382,0.4180099575177524,0.4655744602173225,0.4134158238761919,0.4604575694546307,0.8978369589316224,-2.8894074213180514,0.9204238799208212,0.0032438956205,0.9937309265,0.0043425572675,0.9901597595,0.979277420025,0.9645890398192,0.9850901303606302,0.9956848,0.9972,0.965436241610738,0.8456858896228607,0.556,0.9857664
609,0.0013398811191956,0.0014909907114929,0.0018905994377154,0.0021038181375969,0.4181016963552385,0.4652545190720434,0.4145959210210242,0.4613533681527497,0.8986515535392288,-2.888185325564116,0.9204238342484188,0.0031746834515,0.9935115051,0.00447954274625,0.990640525825,0.982334022525,0.9645890137116,0.9850901192512664,0.9956449,0.9972,0.965436241610738,0.8454549018384137,0.5555000000000001,0.9854972
610,0.0012990817525136,0.0014442153033041,0.0019833508185831,0.0022049309818078,0.4180697072774458,0.4647764991923501,0.4152062099561656,0.4615930916474737,0.8995069845483421,-2.886963229810181,0.9204237885760176,0.0030786986647499,0.9931099701,0.004700350463,0.990784950275,0.98399873735,0.9645889876039999,0.9850901081419028,0.995605,0.9972,0.965436241610738,0.8452239140768877,0.555,0.985228
611,0.0012442165869673,0.0013819389383432,0.0020998505709077,0.0023322830599074,0.4177117749563956,0.4639482971559723,0.4151320443567535,0.4610830161402527,0.9003412180128497,-2.8857411340562455,0.9198700768255714,0.00295117899775,0.9932893372,0.00498067215,0.99077783585,0.9846589279,0.9645889614963999,0.985090097032539,0.9955651,0.9971,0.965436241610738,0.8444846344530396,0.5545,0.9849588
612,0.0011862477580911,0.0013163935638827,0.0022404472649177,0.0024862515774126,0.4175601864887771,0.4633716171670518,0.4147880845398027,0.4602953819209437,0.9011345775592488,-2.8845190383023103,0.9198700311806468,0.002814884111,0.9936864471,0.0053164268294999,0.9908415222,0.984263515475,0.9645889353888,0.9850900859231754,0.9955252,0.9971,0.9653722760560391,0.8441419163129695,0.554,0.9846896
