,sky_bright,sky_dark,sky_grey
337,3.1006246905552016e-16,6.076621995300372e-17,2.259958881642631e-16
338,3.0263929361447143e-16,5.88609828280047e-17,2.2045926517291922e-16
339,2.9521611817342275e-16,5.695574570300567e-17,2.1492264218157538e-16
340,2.87792942732374e-16,5.5050508578006644e-17,2.0938601919023148e-16
341,2.8036976729132534e-16,5.3145271453007615e-17,2.038493961988876e-16
342,2.729465918502766e-16,5.124003432800859e-17,1.983127732075437e-16
343,2.6552341640922792e-16,4.933479720300957e-17,1.927761502161998e-16
344,2.581002409681792e-16,4.742956007801054e-17,1.8723952722485591e-16
345,2.506770655271305e-16,4.552432295301152e-17,1.8170290423351202e-16
346,2.432538900860818e-16,4.361908582801249e-17,1.7616628124216813e-16
347,2.358307146450331e-16,4.171384870301347e-17,1.7062965825082426e-16
348,2.284075392039844e-16,3.9808611578014445e-17,1.6509303525948037e-16
349,2.209843637629357e-16,3.7903374453015416e-17,1.5955641226813648e-16
350,2.1356118832188698e-16,3.5998137328016393e-17,1.540197892767926e-16
351,2.0613801288083828e-16,3.409290020301737e-17,1.4848316628544872e-16
352,1.987148374397896e-16,3.218766307801834e-17,1.4294654329410483e-16
353,1.9129166199874086e-16,3.028242595301932e-17,1.3740992030276093e-16
354,1.8386848655769218e-16,2.8377188828020296e-17,1.3187329731141704e-16
355,1.7644531111664345e-16,2.6471951703021268e-17,1.2633667432007315e-16
356,1.6902213567559477e-16,2.4566714578022242e-17,1.2080005132872928e-16
357,1.6159896023454606e-16,2.266147745302322e-17,1.152634283373854e-16
358,1.5417578479349736e-16,2.0756240328024193e-17,1.097268053460415e-16
359,1.4675260935244865e-16,1.8851003203025168e-17,1.0419018235469762e-16
360,1.3932943391139995e-16,1.6945766078026142e-17,9.865355936335372e-17
361,1.3190625847035124e-16,1.504052895302712e-17,9.311693637200984e-17
362,1.2448308302930253e-16,1.3135291828028094e-17,8.758031338066595e-17
363,1.1705990758825383e-16,1.1230054703029068e-17,8.204369038932207e-17
364,1.0963673214720512e-16,9.324817578030044e-18,7.650706739797818e-17
365,1.1104116058560285e-16,7.535435984544614e-18,7.615158238204744e-17
366,1.2732047228986886e-16,7.64777783457816e-18,8.792902081223366e-17
367,1.220258575907091e-16,6.53366275703554e-18,8.425872556019219e-17
368,1.1243139840319437e-16,5.303798861025678e-18,7.782055528022485e-17
369,1.1758573790016412e-16,5.366167584777716e-18,7.99484551401361e-17
370,1.2092961556425593e-16,7.649913553465362e-18,8.338995703049567e-17
371,1.1701181016833712e-16,7.46010340016577e-18,7.883219158557006e-17
372,1.0831730620905158e-16,5.954655182679251e-18,7.384318154609294e-17
373,1.0137225378032333e-16,6.996317506834634e-18,6.882797876598075e-17
374,9.34094103963226e-17,9.295766636232298e-18,6.238480265646586e-17
375,9.695724118709007e-17,7.611814234603618e-18,6.402363825589717e-17
376,1.0771959712999647e-16,6.327110681236448e-18,7.219355610087703e-17
377,1.139010731056319e-16,5.728308642046895e-18,7.457644575739172e-17
378,1.323197867734768e-16,6.064122557882465e-18,8.760042236151533e-17
379,1.1214744899396514e-16,5.86595522661853e-18,7.484651863214769e-17
380,1.0768431452883226e-16,5.526860918746413e-18,7.01295083125392e-17
381,1.1540366630271143e-16,5.5168736819857505e-18,7.664049108618065e-17
382,8.823747534722911e-17,6.1304955744968466e-18,5.844196050736242e-17
383,7.246145356318681e-17,7.664253318433884e-18,4.746112931392352e-17
384,8.125212260399138e-17,7.439827119870644e-18,5.1559099720014925e-17
385,1.0213313684722885e-16,6.311803913861061e-18,6.618529520940168e-17
386,9.417817233303791e-17,5.089362400667951e-18,6.027437198704599e-17
387,9.724877592275925e-17,4.592828993990454e-18,6.230960981233088e-17
388,9.481904731695563e-17,4.2247523565142665e-18,6.045412445441926e-17
389,1.0003829299978636e-16,4.01312533617549e-18,6.294386857483307e-17
390,1.1441959658058732e-16,4.871782439092472e-18,7.274313920797711e-17
391,1.2274867949813432e-16,6.957993089767876e-18,7.691189710757975e-17
392,1.137225884182908e-16,5.739184885726096e-18,7.25330749366178e-17
393,6.795824292997749e-17,4.158829266729401e-18,4.3907551075762324e-17
394,7.446955212050353e-17,4.915248498268641e-18,4.494901148179525e-17
395,1.1515190325652358e-16,5.8544413535569855e-18,7.16400826571466e-17
396,1.0345098455923514e-16,4.7729794861966305e-18,6.588758981158369e-17
397,6.723549366023064e-17,3.702982832487222e-18,4.093777027897972e-17
398,1.2003135304364917e-16,5.372623246536662e-18,7.292084901507722e-17
399,1.4256070574576044e-16,5.4295580103919695e-18,8.756660401183172e-17
400,1.4820983904250635e-16,5.3549500971824744e-18,9.079181911277736e-17
